ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-070454,10,20,FGT0153-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070454,919,10,VBG00006,176.00000000,0.00200000,0.00000000,2026-06-05 11:20:00.000,MTM2,2812.00000000
WO-070455,10,10,40250-LH-Blank,119.00000000,1.00000000,0.00000000,2026-05-20 19:10:00.000,MTM2,103.00000000
WO-070455,10,20,FGT0132-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070455,20,10,FGT0149-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070456,10,10,MMC0000384,5643.00000000,5.13000000,0.00000000,2026-04-24 18:30:00.000,MTM2,30185.00000000
WO-070456,10,20,FGT0426-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070456,20,10,FGT1004-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070456,30,10,23-12742-000,2200.00000000,2.00000000,0.00000000,2026-05-29 11:20:00.000,MTM2,57096.00000000
WO-070456,30,20,FGT1204-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070456,889,30,23-12631-791,3300.00000000,3.00000000,0.00000000,2026-05-28 18:40:00.000,MTM2,79200.00000000
WO-070460,20,10,21-28841-Blank,717.00000000,1.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,112.00000000
WO-070460,20,20,FGT0150-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070460,40,10,FGT0151-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070460,90,10,21-28841-Patch-1.25,1434.00000000,2.00000000,0.00000000,2026-05-20 23:10:00.000,MTM2,6238.00000000
WO-070460,90,20,21-28841-Patch-2.00,1434.00000000,2.00000000,0.00000000,2026-05-20 23:10:00.000,MTM2,12350.00000000
WO-070460,90,30,FGF0009-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070462,10,10,MMF0005008,169.00000000,1.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,1837.00000000
WO-070462,90,10,RN3316,507.00000000,3.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,10123.00000000
WO-070463,10,10,MMC0000730,43297.76000000,5.84000000,0.00000000,2026-05-01 13:30:00.000,MTM2,0.00000000
WO-070463,10,20,FGT1140-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
WO-070463,20,10,FGT1181-01,0.00000000,0.00000000,0.00000000,2026-04-17 00:00:00.000,MTM2,0.00000000
