TABLE_NAME,ROW_COUNT
RCR_GJ_LINE,0
RCR_PAYABLE,0
RCR_PAYABLE_LINE,0
RCR_RECEIVABLE,0
RCR_RECV_LINE,0
RCR_RECV_SHARE,0
REASON,0
RECEIVABLE_INST,0
RECEIVABLE_SCHED,0
RECEIVABLE_SHARE,0
RECV_MEMO_APPLY,0
REFERENCE_DESIGNATOR,0
REGION,0
REPORT,0
REPORT_LINE,0
REQ_PART_ALTERNATE,0
REQ_TRC_CTL,0
REQUIREMENT_COST,0
REQUIREMENT_SUM,0
RES_SIMULATION,0
RESOURCE_SCHED,0
RESOURCE_SETUP,0
REVALUE,0
REVALUE_CURR,0
REVALUE_DIST,0
REVALUE_LINE,0
REVENUE_DETAIL,0
REVENUE_DIST,0
REVISION_NUMBERING,0
RFQ_BINARY,0
RFQ_LINE_BINARY,0
RFQ_VND_QT_BINARY,0
RMA_LINE_DSL,0
RMA_SYNC,0
SALES_CODE_ENG,0
SALES_REP_SHARE,0
SALES_TAX,0
SALES_TAX_GROUP,0
SALES_TAX_GRP_PART,0
SALES_TAX_PCT,0
SCHEDULE_GROUP,0
SCREEN_SIZE,0
SECURITY_CLASS,0
SEGMENT,0
SELECT_OPT_BINARY,0
SELECTED_OPTIONS,0
SER_SIMULATION,0
SERIES_MODEL_PART,0
SERV_CHARGE_BINARY,0
SERVICE_BINARY,0
SERVICE_RCPT_CURR,0
SERVICE_SHIPPING,0
SERVICE_UNIT_CONV,0
SETUP_ATTRIBUTE,0
SETUP_TYPE,0
SETUP_TYPE_ATTRIB,0
SHIP_REASON,0
SHIP_VIA_SYNC,0
SHIPTO_ALT_WAREHS,0
SHIPTO_PRICE_GROUP,0
SIC,0
SIC_SYNC,0
SIMULATION,0
SLS_TAX_GRP_TAX,0
SPLIT_TRANS,0
SPLIT_TRANS_CURR,0
SPREAD_PROFILE,0
SUMMARY_CODE,0
SUMMARY_TABLE,0
SUPPLIER_PREFERENCES,0
TARE,0
TARIFF,0
TC_MASTER,0
TC_PROJECT,0
TERMS_INST,0
TERRITORY_SYNC,0
TEST,0
TEST_BINARY,0
TEST_RESULT,0
TEST_STEP,0
TEST_STEP_BINARY,0
TRACE,0
TRACE_DATE,0
TRACE_DOCUMENTS,0
TRACE_HISTORY,0
TRACE_INV_TRANS,0
TRACE_LABOR_TRANS,0
TRACE_NUMBERING,0
TRACE_PROFILE,0
TRACE_SERV_DISP,0
TRACE_SERV_TRANS,0
TRANS_CATEGORY,0
TRANSIT_TIME,0
UNP_MNT_BINARY,0
UNP_MNT_CALLS,0
UNP_MNT_ENGINEER,0
UNP_MNT_ESCALATION,0
UNP_MNT_FAULT_CODE,0
UNP_MNT_FAULT_TYPE,0
UNP_MNT_REM_CODE,0
UNP_MNT_REM_TYPE,0
UNP_MNT_STD_REPAIR,0
UNP_MNT_URGENCY,0
USER_DIM_MAPPING,0
USER_DIMENSION,0
USER_FLD_AUTHORITY,0
USER_PROFILE,0
V_ACCT_BINARY,0
V_ACCT_SALESREP,0
V_ACCT_TYPE,0
V_BRANCH,0
V_BUSINESS_UNIT,0
V_CAL_BINARY,0
V_CAL_CONTACT,0
V_CALENDAR,0
V_CALL,0
V_CALL_BILL_RATE,0
V_CALL_BINARY,0
V_CALL_ISS_BINARY,0
V_CALL_ISS_KEY,0
V_CALL_ISSUE,0
V_CALL_RES_BINARY,0
V_CALL_RES_KEYS,0
V_CALL_RESOLUTION,0
V_CATEGORY,0
V_COMMENTS_BACKUP,0
V_COMMIS_SHARE,0
V_CONTACT_BINARY,0
V_CONTACT_PREF,0
V_CONTR_ADDR,0
V_CONTR_BILLING,0
V_CONTR_BINARY,0
V_CONTR_CHARGE,0
V_CONTR_CONT,0
V_CONTR_ITEM,0
V_CONTR_ITEM_BIN,0
V_CONTR_PMT,0
V_CONTR_TYPE,0
V_CONTRACT,0
V_CRM_SYNCH,0
V_CUSTOM,0
V_CUSTOM_BINARY,0
V_CUSTOM_DEF,0
V_CUSTOM_JUNC,0
V_CUSTOM_REL,0
V_DIVISION,0
V_DOC_CATALOG,0
V_DOC_CATEGORY,0
V_DOC_SENT,0
V_DOC_TYPE,0
V_DUPLICATES,0
V_EVENT,0
V_EVENT_ATTENDEE,0
V_EVENT_STAGE,0
V_EXP_CODE,0
V_HIST_DATA,0
V_HISTORY,0
V_HISTORY_CATEGORY,0
V_INV_BINARY,0
V_INV_LN_BINARY,0
V_INVOICE,0
V_INVOICE_LINE,0
V_KEYWORD,0
V_LBR_GROUP,0
V_LBR_GRP_RATE,0
V_LEAD_SOURCE,0
V_LEASE_TYPE,0
V_MAIL_NAVBAR,0
V_OPPORTUNITY,0
V_OPTY_BINARY,0
V_OPTY_COMPET,0
V_OPTY_CONTACT,0
V_OPTY_CURR,0
V_OPTY_ESTIMATE,0
V_OPTY_ORDER,0
V_OPTY_PLAN,0
V_OPTY_TYPE,0
V_PAYABLE_DIST,0
V_POSITION,0
V_PROBABILITY,0
V_QTE_LINE_BINARY,0
V_QUOTA,0
V_QUOTE_ATTRIB,0
V_QUOTE_BINARY,0
V_QUOTE_CONTACT,0
V_QUOTE_ESTIMATE,0
V_QUOTE_LINE,0
V_QUOTE_ORDER,0
V_QUOTE_PART,0
V_QUOTE_PRINT,0
V_QUOTE_TYPE,0
V_RECV_DIST,0
V_RECV_DIST_LINE,0
V_SALES_ACTIVITY,0
V_SALES_PLAN,0
V_SALES_STAGE,0
V_SHOP_RESOURCE,0
V_SO_EXP_BINARY,0
V_SO_LBR_BINARY,0
V_SO_MTL_BINARY,0
V_SO_OPR_BINARY,0
V_SO_VND_BINARY,0
V_SRVC_CALL,0
V_SRVC_CODE,0
V_SRVC_ORDER,0
V_SRVC_TYPE,0
V_SRVCORD_BINARY,0
V_SRVCORD_EXP,0
V_SRVCORD_LBR,0
V_SRVCORD_MTL,0
V_SRVCORD_OPER,0
V_SRVCORD_VNDR,0
V_SUB_AREA,0
V_SYNC_USER,0
V_TASK,0
V_TASK_ACTIVITY_TYPE,0
V_TASK_BINARY,0
V_TASK_CATEGORY,0
V_TASK_CONTACT,0
V_USER_AUTH,0
V_USER_DEF_LIST,0
V_USER_DEFINED,0
V_USER_SALESREP,0
VAT,0
VAT_BOOK,0
VAT_CATEGORY,0
VEND_BANK_ACCOUNT,0
VEND_CONT_EML_DOC,0
VEND_GROUP_RELATION,0
VENDOR_BANK,0
VENDOR_BUYER,0
VENDOR_CALENDAR,0
VENDOR_GROUP,0
VENDOR_SERV_QUOTE,0
VENDOR_SERVICE,0
VENDOR_SYNC,0
VENDOR_WEEK,0
VMDI_ACK_CODES,0
VMDI_ASSOC,0
VMDI_CSH_HDR,0
VMDI_CSH_LINE,0
VMDI_DATA,0
VMDI_LAYOUT,0
VMDI_TABLE,0
VMQUERY_ITEM_AUTHORITY,0
VR_ANALYTIC_CONFIG,0
VR_ANALYTIC_CONFIG_PROP,0
VR_DATA_SOURCE_COLUMN,0
VR_DATA_SRC_DRILLTO_PARAM,0
VR_GRID_CONFIG,0
VR_GRID_CONFIG_COLUMN,0
VR_MENU,0
VR_MENU_NODE,0
VR_PAYABLE_DET,0
VR_PAYABLE_HDR,0
VR_PURCORD_DET,0
VR_RECEIVABLE_HDR,0
VR_RECEIVER_DET,0
VR_SHIPMENT_DET,0
VR_WORKORDER_HDR,0
WAREHOUSE_ADDRESS,0
WAREHOUSE_WIP_VAS,0
WBS,0
WBS_BILLABLE_TYPE,0
WH_SHIP_ADVICE,0
WIP_PAYB_DETAIL,0
WIP_SPLIT_DETAIL,0
WIP_VAS,0
WIP_VAS_SYNC,0
WITHHOLDING,0
WO_SETUP_ATTRIB,0
WORK_ORDER_SYNC,0
WORKFLOW,0
WORKFLOW_EVENT,0
WORKORD_MILESTONE,0
WORKORDER_AUDIT,0
WORKORDER_SUMMARY,0
WORKORDER_TRC_CTL,0
