RESOURCE_ID,RESOURCE_DESCRIPTION,RESOURCE_TYPE,DEPARTMENT_ID,SCHEDULE_GROUP_ID,SCHEDULE_NORMALLY,OPERATION_ROW_COUNT,DISTINCT_WORK_ORDERS,DISTINCT_SEQUENCES,FIRST_SCHED_START_DATE,LAST_SCHED_FINISH_DATE
120-04,Haeger 824 MSP-5e Automated Cell,W,NULL,NULL,N,23,23,23,2025-04-24 00:00:00.000,2026-03-12 00:10:00.000
120-05,Auto Rivet Machine,W,NULL,NULL,N,194,194,194,2024-10-31 00:00:00.000,2026-02-19 00:10:00.000
120-06,Auto Rivet Machine,W,NULL,NULL,N,0,0,1,NULL,NULL
130-01,Drill Press - Small Drill Press (900-02),W,NULL,NULL,N,6,6,6,2020-03-27 06:40:00.000,2020-09-27 23:50:00.000
130-02,Drill Press - Clausing,W,NULL,NULL,Y,3,3,3,2024-12-12 00:50:00.000,2025-09-07 23:50:00.000
130-07,Drill Press - Donauflex 133,W,NULL,NULL,N,19,19,19,2022-09-02 00:00:00.000,2026-06-03 21:30:00.000
130-11,Drill Press - Small Drill Press,W,NULL,NULL,N,1,1,1,2024-09-12 00:20:00.000,2024-09-12 19:50:00.000
131-02,Tapping Arm - Wilton (Deburring),W,NULL,NULL,N,1,1,1,NULL,NULL
131-03,Tapping Fixture - Table,W,NULL,NULL,N,304,303,304,2019-09-12 13:10:00.000,2026-06-01 14:30:00.000
131-04,Tapping Fixture - Rotary,W,NULL,NULL,N,64,64,64,2020-01-23 14:00:00.000,2026-04-17 06:10:00.000
135.23,CNC - Doosan VC 3600,W,NULL,NULL,Y,5,5,5,2024-11-21 03:20:00.000,2025-11-04 23:40:00.000
135-02,Manual Vert. - Milltrontics,W,NULL,NULL,Y,1,1,1,2025-07-10 00:00:00.000,2025-07-11 02:50:00.000
135-03,Manual Vert. - Milltrontics,W,NULL,NULL,N,0,0,1,NULL,NULL
135-04,Manual Vert. - Milltrontics,W,NULL,NULL,Y,0,0,1,NULL,NULL
135-05,Manual Vert. - Milltrontics,W,NULL,NULL,N,0,0,1,NULL,NULL
135-07,Manual Vert. - Bridgeport Mill,W,NULL,NULL,N,0,0,1,NULL,NULL
135-09,Manual Vert. - Acer 3VKN,W,NULL,NULL,N,0,0,1,NULL,NULL
135-10,Manual Vert. - Milltronics, RH30,W,NULL,NULL,Y,0,0,1,NULL,NULL
135-23,CNC Vertical Mill - Doosan VC 3600,W,NULL,NULL,Y,72,72,72,2024-02-12 00:00:00.000,2026-06-16 23:10:00.000
140-01,Assembly,W,NULL,NULL,N,28,28,28,2019-12-12 08:50:00.000,2026-05-29 07:10:00.000
140-03,Assembly (Rafael),W,NULL,NULL,N,46,42,46,2007-10-24 00:00:00.000,2009-04-30 08:50:00.000
140-GRP,Assembly Group,G,NULL,NULL,Y,1344,1344,1344,2007-11-21 00:00:00.000,2026-05-08 07:00:00.000
150-01,Fabrication,W,NULL,NULL,N,8,8,8,2020-07-10 08:30:00.000,2023-03-31 13:20:00.000
150-GRP,Die Shop Assembly,G,NULL,NULL,Y,108,98,98,2026-02-05 23:50:00.000,2027-06-24 13:40:00.000
160-01,Labor - PT,I,NULL,NULL,Y,6,6,6,2011-11-08 15:50:00.000,2011-11-08 15:50:00.000
160-GRP,Labor - PT Group,G,NULL,NULL,Y,125,125,125,2009-01-08 14:30:00.000,2012-05-23 03:10:00.000
180-01,Inactive -Surface Grind 24 IN X 48 IN,W,NULL,NULL,N,0,0,1,NULL,NULL
180-02,Surface Grind 6 IN X 18 IN,W,NULL,NULL,Y,0,0,1,NULL,NULL
180-03,Surface Grind 6 IN X 18 IN,W,NULL,NULL,N,0,0,1,NULL,NULL
180-04,Surface Grind 6 IN X 18 IN,W,NULL,NULL,Y,0,0,1,NULL,NULL
180-05,Chevalier Surface Grinder,W,NULL,NULL,Y,4,4,4,2025-10-16 08:20:00.000,2026-05-15 01:30:00.000
180-05-GRP,Chevalier Surface Grinder,W,NULL,NULL,Y,0,0,1,NULL,NULL
180-06,Chevalier Surface Grinder 16" x 32",W,NULL,NULL,Y,0,0,1,NULL,NULL
180-07,Chevalier Surface Grinder 8" x 16",W,NULL,NULL,Y,0,0,1,NULL,NULL
180-08,Chevalier Surface Grinder 8" x 16",W,NULL,NULL,Y,0,0,1,NULL,NULL
180-GRP,Surface Grind Group,G,NULL,NULL,N,1,1,1,2007-11-21 00:00:00.000,2007-11-21 00:00:00.000
190-01,Blanchard Grind 48 IN,W,NULL,NULL,Y,2,2,2,2026-01-23 00:00:00.000,2026-06-01 12:00:00.000
190-02,Blanchard Grind 36 IN,W,NULL,NULL,N,0,0,1,NULL,NULL
190-GRP,Blanchard Grind Group,G,NULL,NULL,Y,47,47,47,2007-10-31 00:00:00.000,2010-11-18 10:50:00.000
251-01,First Article,W,NULL,NULL,N,0,0,1,NULL,NULL
251-GRP,First Article Group,G,NULL,NULL,Y,0,0,1,NULL,NULL
252-01,Final Inspection ,W,NULL,NULL,N,1738,1671,1738,2020-04-26 23:50:00.000,2026-09-08 23:50:00.000
252-GRP,Final Inspection Group,G,NULL,NULL,Y,8907,7076,7078,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
253-01,In-Process Inspection ,W,NULL,NULL,N,94,91,94,2007-10-24 00:00:00.000,2026-05-29 00:00:00.000
253-GRP,In-Process Inspection Group,G,NULL,NULL,Y,7967,6298,6298,2009-05-12 00:00:00.000,2036-10-02 16:10:00.000
254-01,PPAP / ISIR,W,NULL,NULL,N,1,1,1,2023-12-07 00:00:00.000,2023-12-07 00:00:00.000
254-GRP,PPAP / ISIR Group,G,NULL,NULL,Y,1,1,1,NULL,NULL
255-01,Receiving Inspection,W,NULL,NULL,N,1,1,1,NULL,NULL
255-GRP,Receiving Inspection Group,G,NULL,NULL,Y,0,0,1,NULL,NULL
260-03,Do Not Use,W,NULL,NULL,Y,1,1,1,2007-11-21 00:00:00.000,2007-11-21 01:20:00.000
260-04,Do Not Use,W,NULL,NULL,Y,3,2,2,2007-10-24 00:00:00.000,2008-02-28 01:10:00.000
260-05,Do Not Use,W,NULL,NULL,Y,4,3,3,2007-10-25 22:30:00.000,2008-02-28 16:10:00.000
300-01,Shipping,W,NULL,NULL,N,15,13,13,2007-10-29 20:20:00.000,2008-05-05 00:00:00.000
300-GRP,Die Shop Tryout,G,NULL,NULL,Y,8938,7093,7097,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
301-01,Ship to Vendor,W,NULL,NULL,N,3,3,3,2007-10-24 14:40:00.000,2007-10-24 14:40:00.000
350-01,WEDM Submerged,W,NULL,NULL,Y,0,0,1,NULL,NULL
350-02,WEDM Non-Submerged,W,NULL,NULL,N,0,0,1,NULL,NULL
350-03,Unattended Wire EDM,W,NULL,NULL,Y,8799,6971,6971,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
350-GRP,Wire EDM Group,G,NULL,NULL,N,8916,7074,7074,2007-10-24 00:00:00.000,2036-10-02 16:10:00.000
500-GRP,Die Maintenance,G,NULL,NULL,Y,47273,47261,47261,2011-10-24 13:50:00.000,2027-04-27 17:40:00.000
712-01,CNC Lathe - Harrison,W,NULL,NULL,Y,6,6,6,NULL,NULL
876-49,Dip Conveyor,W,NULL,NULL,Y,1,1,1,2025-08-07 07:00:00.000,2025-08-08 13:40:00.000
880-01,Manual Finish ,W,NULL,NULL,Y,3395,3381,3394,2012-05-18 09:00:00.000,2035-05-28 18:50:00.000
880-DBR,Manual Finish Laser Parts,W,NULL,NULL,Y,23,23,23,2025-12-19 20:50:00.000,2026-06-22 21:50:00.000
