TABLE_NAME,TRIGGER_NAME,TYPE_DESC,IS_INSTEAD_OF_TRIGGER,IS_DISABLED,TRIGGER_EVENT
PAYABLE_INST,UPDATE_PAYABLE_INST,SQL_TRIGGER,NO,NO,UPDATE
PAYABLE_LINE,INSERT_PAYABLE_LINE,SQL_TRIGGER,NO,NO,INSERT
PAYABLE_LINE,UPDATE_PAYABLE_LINE,SQL_TRIGGER,NO,NO,UPDATE
PHYS_COUNT_TAG,UPDATE_PHYS_COUNT_TAG,SQL_TRIGGER,NO,NO,UPDATE
PHYSICAL_COUNT,UPDATE_PHYSICAL_COUNT,SQL_TRIGGER,NO,NO,UPDATE
PLANNED_MATL_REQ,INSERT_PLANNED_MATL_REQ,SQL_TRIGGER,NO,NO,INSERT
PLANNED_MATL_REQ,UPDATE_PLANNED_MATL_REQ,SQL_TRIGGER,NO,NO,UPDATE
PLANNED_ORDER,DELETE_PLANNED_ORDER,SQL_TRIGGER,NO,NO,DELETE
PLANNED_ORDER,UPDATE_PLANNED_ORDER,SQL_TRIGGER,NO,NO,UPDATE
PROJECT_DIST,DELETE_PROJECT_DIST,SQL_TRIGGER,NO,NO,DELETE
PROJECT_DIST,INSERT_PROJECT_DIST,SQL_TRIGGER,NO,NO,INSERT
PROJECT_DIST,UPDATE_PROJECT_DIST,SQL_TRIGGER,NO,NO,UPDATE
PURC_LINE_DEL,DELETE_PURC_LINE_DEL,SQL_TRIGGER,NO,NO,DELETE
PURC_LINE_DEL,INSERT_PURC_LINE_DEL,SQL_TRIGGER,NO,NO,INSERT
PURC_LINE_DEL,UPDATE_PURC_LINE_DEL,SQL_TRIGGER,NO,NO,UPDATE
PURC_ORDER_LINE,DELETE_PURC_ORDER_LINE,SQL_TRIGGER,NO,NO,DELETE
PURC_ORDER_LINE,INSERT_PURC_ORDER_LINE,SQL_TRIGGER,NO,NO,INSERT
PURC_ORDER_LINE,UPDATE_PURC_ORDER_LINE,SQL_TRIGGER,NO,NO,UPDATE
PURC_REQ_LINE,DELETE_PURC_REQ_LINE,SQL_TRIGGER,NO,NO,DELETE
PURC_REQ_LINE,INSERT_PURC_REQ_LINE,SQL_TRIGGER,NO,NO,INSERT
PURC_REQ_LINE,UPDATE_PURC_REQ_LINE,SQL_TRIGGER,NO,NO,UPDATE
PURC_REQUISITION,DELETE_PURC_REQUISITION,SQL_TRIGGER,NO,NO,DELETE
PURC_REQUISITION,INSERT_PURC_REQUISITION,SQL_TRIGGER,NO,NO,INSERT
PURC_REQUISITION,UPDATE_PURC_REQUISITION,SQL_TRIGGER,NO,NO,UPDATE
PURCHASE_CONTRACT,UPDATE_PURCHASE_CONTRACT,SQL_TRIGGER,NO,NO,INSERT
