TABLE_NAME,INDEX_NAME,INDEX_TYPE,IS_UNIQUE,IS_PRIMARY_KEY,COLUMN_NAME,KEY_ORDINAL,IS_INCLUDED_COLUMN
V_CONTR_CONT,X_V_CONTR_CONT_0,CLUSTERED,YES,YES,CONTACT_ID,2,NO
V_CONTR_ITEM,X_V_CONTR_ITEM_0,CLUSTERED,YES,YES,CONTR_ID,1,NO
V_CONTR_ITEM,X_V_CONTR_ITEM_0,CLUSTERED,YES,YES,ITEM_NO,2,NO
V_CONTR_ITEM_BIN,X_V_CONTR_ITEM_BIN_0,CLUSTERED,YES,YES,CONTR_ID,1,NO
V_CONTR_ITEM_BIN,X_V_CONTR_ITEM_BIN_0,CLUSTERED,YES,YES,ITEM_TYPE,2,NO
V_CONTR_ITEM_BIN,X_V_CONTR_ITEM_BIN_0,CLUSTERED,YES,YES,LINE_NO,3,NO
V_CONTR_ITEM_BIN,X_V_CONTR_ITEM_BIN_0,CLUSTERED,YES,YES,TYPE,4,NO
V_CONTR_PMT,X_V_CONTR_PMT_0,CLUSTERED,YES,YES,CONTR_ID,1,NO
V_CONTR_PMT,X_V_CONTR_PMT_0,CLUSTERED,YES,YES,ID,2,NO
V_CONTR_TYPE,X_V_CONTR_TYPE_0,CLUSTERED,YES,YES,ID,1,NO
V_CONTRACT,X_V_CONTRACT_0,CLUSTERED,YES,YES,ID,1,NO
V_CONTRACT,X_V_CONTRACT_1,NONCLUSTERED,NO,NO,ACCT_ID,1,NO
V_CONTRACT,X_V_CONTRACT_2,NONCLUSTERED,NO,NO,CONTACT_ID,1,NO
V_COUNTY_CODE,X_V_COUNTY_CODE_0,CLUSTERED,YES,YES,COUNTY_NAME,1,NO
V_COUNTY_CODE,X_V_COUNTY_CODE_0,CLUSTERED,YES,YES,STATE,2,NO
V_CRM_SYNCH,X_V_CRM_SYNCH0,CLUSTERED,YES,YES,CUSTOMER_ID,1,NO
V_CRM_SYNCH,X_V_CRM_SYNCH0,CLUSTERED,YES,YES,TRX_TYPE,2,NO
V_CRM_SYNCH,X_V_CRM_SYNCH0,CLUSTERED,YES,YES,TABLE_NAME,3,NO
V_CUSTOM,X_V_CUSTOM_0,CLUSTERED,YES,YES,ID,1,NO
V_CUSTOM,X_V_CUSTOM_0,CLUSTERED,YES,YES,BUS_TYPE,2,NO
V_CUSTOM_BINARY,X_V_CUSTOM_BIN_0,CLUSTERED,YES,YES,BUS_TYPE,1,NO
V_CUSTOM_BINARY,X_V_CUSTOM_BIN_0,CLUSTERED,YES,YES,CUSTOM_ID,2,NO
V_CUSTOM_BINARY,X_V_CUSTOM_BIN_0,CLUSTERED,YES,YES,TYPE,3,NO
V_CUSTOM_DEF,X_V_CUSTOM_DEF_0,CLUSTERED,YES,YES,BUS_TYPE,1,NO
V_CUSTOM_JUNC,X_V_CUSTOM_JUNC_0,CLUSTERED,YES,YES,ID_1,1,NO
V_CUSTOM_JUNC,X_V_CUSTOM_JUNC_0,CLUSTERED,YES,YES,BUS_TYPE_1,2,NO
V_CUSTOM_JUNC,X_V_CUSTOM_JUNC_0,CLUSTERED,YES,YES,ID_2,3,NO
V_CUSTOM_JUNC,X_V_CUSTOM_JUNC_0,CLUSTERED,YES,YES,BUS_TYPE_2,4,NO
V_CUSTOM_JUNC,X_V_CUSTOM_JUNC_1,NONCLUSTERED,NO,NO,ID_1,1,NO
V_CUSTOM_JUNC,X_V_CUSTOM_JUNC_2,NONCLUSTERED,NO,NO,BUS_TYPE_1,1,NO
V_CUSTOM_REL,X_V_CUSTOM_REL_0,CLUSTERED,YES,YES,BUS_TYPE,1,NO
V_CUSTOM_REL,X_V_CUSTOM_REL_0,CLUSTERED,YES,YES,REL_BUS_TYPE,2,NO
V_DIVISION,X_V_DIVISION_0,CLUSTERED,YES,YES,ID,1,NO
V_DOC_CATALOG,X_V_DOC_CATALOG_0,CLUSTERED,YES,YES,ID,1,NO
V_DOC_CATEGORY,X_V_DOC_CATEGORY_0,CLUSTERED,YES,YES,ID,1,NO
