ORDER_ID,OPERATION_SEQ_NO,PIECE_NO,PART_ID,CALC_QTY,QTY_PER,FIXED_QTY,REQUIRED_DATE,SITE_ID,QTY_ON_HAND
WO-071235,29,10,104410-01,22000.00000000,11.00000000,0.00000000,2026-05-29 00:50:00.000,MTM2,-325.00000000
WO-071235,29,30,613244-11,2000.00000000,1.00000000,0.00000000,2026-05-29 00:50:00.000,MTM2,560.00000000
WO-071236,19,10,MMC0000436,26150.00000000,5.23000000,0.00000000,2026-06-08 01:30:00.000,MTM2,26220.00000000
WO-071237,29,10,104410-01,645.00000000,3.00000000,0.00000000,2026-05-27 03:10:00.000,MTM2,-325.00000000
WO-071237,29,40,613244-03,215.00000000,1.00000000,0.00000000,2026-05-27 03:10:00.000,MTM2,485.00000000
WO-071238,29,10,104410-02,670.00000000,2.00000000,0.00000000,2026-06-09 19:20:00.000,MTM2,48338.00000000
WO-071238,29,30,613244-02,335.00000000,1.00000000,0.00000000,2026-06-09 19:20:00.000,MTM2,0.00000000
WO-071239,29,10,104410-02,1500.00000000,5.00000000,0.00000000,2026-05-27 14:40:00.000,MTM2,48338.00000000
WO-071239,29,30,613244-05,300.00000000,1.00000000,0.00000000,2026-05-27 14:40:00.000,MTM2,-1.00000000
WO-071240,29,10,104410-03,3000.00000000,10.00000000,0.00000000,2026-06-09 13:20:00.000,MTM2,3059.00000000
WO-071240,29,30,613244-10,300.00000000,1.00000000,0.00000000,2026-06-09 13:20:00.000,MTM2,211.00000000
WO-071241,29,10,104410-01,1305.00000000,5.00000000,0.00000000,2026-05-27 19:10:00.000,MTM2,-325.00000000
WO-071241,29,30,613244-05,261.00000000,1.00000000,0.00000000,2026-05-27 19:10:00.000,MTM2,-1.00000000
WO-071245,10,10,MMF0006614,108556.00000000,2.80000000,0.00000000,2026-06-05 16:40:00.000,MTM2,108559.00000000
WO-071247,19,10,MMC0000434,23421.00000000,4.22000000,0.00000000,2026-06-04 21:30:00.000,MTM2,23454.00000000
WO-071251,10,10,MMF0001014,2227.84000000,4.72000000,0.00000000,2026-05-29 12:10:00.000,MTM2,2534.24000000
WO-071265,19,10,MMC0000210,77.99000000,0.01100000,0.00000000,2026-05-29 11:30:00.000,MTM2,78.00000000
WO-071266,19,10,MMC0000056,10800.00000000,7.20000000,0.00000000,2026-06-02 12:50:00.000,MTM2,115177.00000000
WO-071267,19,10,MMC0000056,36000.00000000,7.20000000,0.00000000,2026-06-01 18:10:00.000,MTM2,115177.00000000
WO-071268,19,10,MMC0000431,1719.90000000,0.21000000,0.00000000,2026-06-01 07:10:00.000,MTM2,1720.00000000
WO-071269,909,10,S3BA0014B-Blank,4800.00000000,1.00000000,0.00000000,2026-06-25 00:00:00.000,MTM2,4875.00000000
WO-071271,919,10,V-EMB-2,1.00000000,0.00040000,0.00000000,2026-05-25 22:30:00.000,MTM2,387.00000000
WO-071271,919,20,V-EMB-500,1.00000000,0.01000000,0.00000000,2026-05-25 22:30:00.000,MTM2,1173.00000000
WO-071271,919,30,V-EMB-92,1.00000000,0.00040000,0.00000000,2026-05-25 22:30:00.000,MTM2,223.00000000
WO-071271,919,40,965578-PKG,100.00000000,1.00000000,0.00000000,2026-05-25 22:30:00.000,MTM2,60.00000000
WO-071272,919,10,V-EMB-2,1.00000000,0.00250000,0.00000000,2026-05-29 21:10:00.000,MTM2,387.00000000
WO-071272,919,20,V-EMB-500,5.00000000,0.02000000,0.00000000,2026-05-31 23:10:00.000,MTM2,1173.00000000
WO-071272,919,30,V-EMB-92,1.00000000,0.00250000,0.00000000,2026-05-29 21:10:00.000,MTM2,223.00000000
WO-071272,919,40,965582-PKG,250.00000000,1.00000000,0.00000000,2026-05-31 23:10:00.000,MTM2,1270.00000000
WO-071273,10,10,MMC0000590,5962.50000000,2.25000000,0.00000000,2026-06-10 02:50:00.000,MTM2,5984.00000000
WO-071274,19,10,MMC0000724,1064.00000000,0.28000000,0.00000000,2026-06-10 09:40:00.000,MTM2,1080.00000000
WO-071275,919,10,24759445-PKG,36.00000000,1.00000000,0.00000000,2026-05-29 06:10:00.000,MTM2,81.00000000
WO-071275,919,40,V-EMB-840,9.00000000,0.25000000,0.00000000,2026-05-29 06:10:00.000,MTM2,260.00000000
WO-071276,10,10,22-77723-120-Raw,1.00000000,1.00000000,0.00000000,2026-05-29 01:40:00.000,MTM2,379.00000000
WO-071276,10,20,22-74372-000,2.00000000,2.00000000,0.00000000,2026-05-29 01:40:00.000,MTM2,1271.00000000
WO-071277,19,10,MMC0000441,6952.00000000,0.55000000,0.00000000,2026-06-02 10:20:00.000,MTM2,6955.00000000
WO-071279,10,10,MMC0000594,2715.00000000,9.05000000,0.00000000,2026-06-12 06:40:00.000,MTM2,13420.00000000
WO-071279,10,30,Tooling Not Ready,300.00000000,1.00000000,0.00000000,2026-06-12 06:40:00.000,MTM2,0.00000000
